,,,Guns By Date,,
Case Number,Booked,Description,Brand/Make Brand/Model,Serial #,
,Date,,,,
2017-,1/9/2017,PWD-1 GLOCK 9mm S/N,GLOCK,17,NDV844
703,,NDV844,,,
2017-,1/7/2017,JAG-1 Sig Sauer P220 .45 Cal,Sig Sauer,p220,G414508
1106,,Pistol w/ magazine,,,
2017-,1/17/2017,RKL-2: Walther PPQ Semi-Auto,Walther,PPQ,FCA4567
2488,,Handgun ser # FCA4567,,,
2017-,1/17/2017,RKL-1: Smith and Wesson,Smith & Wesson,Combat Magnum,CVE3309
2488,,Revolver ser # CVE3309,,,
2017-,2/8/2017,JKC 114- black .22 Beretta semi-,Beretta,.22LR semi-auto,BES2828
2953,,auto pistol,,,
2017-,2/8/2017,JKC 112- chrome finish .38 S&W,S&W,6 shot revolver,D480496
2953,,revolver,,,
2017-,2/9/2017,JKC 8C- Mossberg brand 12,Mossberg,12 gauge,J097072
2953,,"gauge shotgun, s.n. J097072",,,
2953,,action rifle,,,
2017-,2/9/2017,JKC 8B- Stevens brand .3006,Stevens,0.3006,E069559
2953,,"bolt action rifle, s.n. E069559",,,
2017-,1/18/2017,AEE 1 - Glock 27 Semi 40 cal s/n,Glock,27,YNF915
3046,,YNF915,,,
2017-,1/21/2017,GJN-1 Winchester Rifle for,,68-22,0
3671,,disposal,,,
2017-,1/21/2017,GJN-2 Remington Shotgun,Remington,572,1767875
3671,,Field Master for disposal,,,
2017-,1/21/2017,GJN-3 H & R 22cal revolver for,H&R,929,AS 29638
3671,,disposal,,,
2017-,1/21/2017,SW-1 Ruger LCP .380 (S/N:,Ruger,LCP,37178058
3733,,371780580) - taken for safe-,,,
,,keeping during Involuntary,,,
,,Commitment (return with,,,
,,approval from Melissa Chin or,,,
,,Court Order),,,
2017-,1/31/2017,"DAC-1: BARETTA 92SF, 9MM",,92 FS,BER2356
5280,,HANDGUN,,,
2017-,1/31/2017,JAS2 - Kel-Tec PMR-30,Kel-Tec,PMR-30,W9K52
5357,,,,,
2017-,1/31/2017,JAS1 - FNH 5.7,FNH,Five-Seven,38622084
5357,,,,,
2017-,1/31/2017,JAS5 - Mossberg 12 GA shotgun,Mossberg,590,Unknown
5357,,- Serial number obscured by,,,
,,plastic on Left side of shotgun,,,
,,receiver.,,,
2017-,1/31/2017,JAS4 - NDS-1P,Allied Armament,NDS-1P,P100196
5357,,,,,
2017-,1/31/2017,JAS3 - NDS-1P,NODAK SPUD,NDS-1P,G002255
5357,,,LLC,,
2017-,2/14/2017,AMF-10: Remington 870 20,Remington,870,D521296
6604,,gauge,,,
2017-,2/14/2017,AMF-14: Remington rifle 300,Remington,700,S672859
6604,,"WIN MAG, model with Redfield",,,
,,scope (SN # 489565V),,,
2017-,2/14/2017,AMF-1: Marlin rifle with Tasco,Marlin,60,7446768
6604,,scope,,,
2017-,2/14/2017,AMF-6: Browning rifle with,Browning,none,01788PT
6604,,Bushnell scope,,,
2017-,2/14/2017,AMF-15: Winchester rifle with,Winchester,94AE,6221094
6604,,Luepold scope (SN#301598T),,,
2017-,2/14/2017,AMF-5: Black powder rifle frontier,Connecticut VA,Frontier,90-69055
6604,,"rifle, Connecticut Valley Arms",,,
6604,,,,,
2017-,2/14/2017,AMF-12: Ruger old Army black,Ruger,Old Army,145-6225
6604,,powder pistol unknown caliber,,,
2017-,2/14/2017,AMF-4: Camouflage Traditions,Traditions,Vortex,14-13-01
6604,,muzzle loader (Vortex Strike,,,15
,,force),,,
2017-,2/14/2017,AMF-17: Sig Sauer pistol black,Sig Sauer,P220,37A0110
6604,,,,,
